| table_schema | table_name                  | ordinal_position | column_name                                       | data_type                   | type_details | is_nullable | column_default    | constraint_type | foreign_key_table_schema | foreign_key_table_name      | foreign_key_column_name |
| organisation | phones                      | 4                | ddi                                               | boolean                     |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | phones                      | 5                | dnc                                               | boolean                     |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | phones                      | 6                | type                                              | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | phones                      | 7                | carrier                                           | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | phones                      | 8                | priority                                          | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | phones                      | 9                | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | phones                      | 10               | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | social_links                | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | organisation             | social_links                | id                      |
| organisation | social_links                | 2                | organisation_id                                   | uuid                        |              | YES         | null              | FOREIGN KEY     | organisation             | identities                  | organisation_id         |
| organisation | social_links                | 3                | linkedin_url                                      | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | social_links                | 4                | twitter_url                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | social_links                | 5                | facebook_url                                      | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | social_links                | 6                | instagram_url                                     | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | social_links                | 7                | youtube_url                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | social_links                | 8                | crunchbase_url                                    | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | social_links                | 9                | yelp_url                                          | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | social_links                | 10               | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | social_links                | 11               | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | web_addresses               | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | organisation             | web_addresses               | id                      |
| organisation | web_addresses               | 2                | organisation_id                                   | uuid                        |              | YES         | null              | FOREIGN KEY     | organisation             | identities                  | organisation_id         |
| organisation | web_addresses               | 3                | url                                               | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | web_addresses               | 4                | rank                                              | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | web_addresses               | 5                | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | web_addresses               | 6                | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | addresses                   | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | people                   | addresses                   | id                      |
| people       | addresses                   | 2                | people_id                                         | uuid                        |              | YES         | null              | FOREIGN KEY     | people                   | profiles                    | people_id               |
| people       | addresses                   | 3                | last_modified_date                                | timestamp without time zone |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 4                | formatted_address                                 | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 5                | street_address                                    | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 6                | place_id                                          | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 7                | lat                                               | double precision            |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 8                | lng                                               | double precision            |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 9                | accuracy                                          | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 10               | confidence_score                                  | double precision            |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 11               | quality                                           | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 12               | administrative_area_level_1                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 13               | administrative_area_level_2                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 14               | administrative_area_level_3                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 15               | administrative_area_level_4                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 16               | administrative_area_level_5                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 17               | continent                                         | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 18               | country                                           | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 19               | country_code                                      | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 20               | establishment                                     | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 21               | locality                                          | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 22               | postal_code                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 23               | postal_town                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 24               | premise                                           | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 25               | county                                            | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 26               | state                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 27               | city                                              | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 28               | street                                            | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 29               | street_number                                     | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 30               | sublocality                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 31               | subpremise                                        | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | addresses                   | 32               | score                                             | double precision            |              | YES         | null              | null            | null                     | null                        | null                    |
